outer_fold,outer_test_block,sealed_block_id,role,n_curated_rows,n_sources,n_analogue_components
18,BLOCK-fc0b343dfac9ab9d,BLOCK-4494eb5738fce47c,train,1518,1,3
18,BLOCK-fc0b343dfac9ab9d,BLOCK-4acd8e0f532c9eb9,train,11,1,1
18,BLOCK-fc0b343dfac9ab9d,BLOCK-513383ed86a73488,train,4010,20,162
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5930edb067c8c52f,train,3,1,1
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5c361cba45039733,train,842,1,112
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5ddb30f65478f699,train,4,1,3
18,BLOCK-fc0b343dfac9ab9d,BLOCK-5f91132e1b252609,train,36,1,1
18,BLOCK-fc0b343dfac9ab9d,BLOCK-8dbd1f0100199b32,train,18,1,1
18,BLOCK-fc0b343dfac9ab9d,BLOCK-ad504a636f9fcddf,train,17,1,2
18,BLOCK-fc0b343dfac9ab9d,BLOCK-bb4bcb852b735057,train,105,3,5
18,BLOCK-fc0b343dfac9ab9d,BLOCK-bb889e938c0a001a,train,10,1,2
18,BLOCK-fc0b343dfac9ab9d,BLOCK-c1585d53eda9a867,train,8,2,2
18,BLOCK-fc0b343dfac9ab9d,BLOCK-c5e520eb3b94ff25,train,249,2,1
18,BLOCK-fc0b343dfac9ab9d,BLOCK-d0fe24e9c28856d1,train,18,1,3
18,BLOCK-fc0b343dfac9ab9d,BLOCK-e729b0aa52978c75,train,7,1,2
18,BLOCK-fc0b343dfac9ab9d,BLOCK-fc0b343dfac9ab9d,test,7,1,1
